Emneord,Train_count,Test_count,Total,Train_share,Test_share
Polarområder,168,50,218,0.771,0.229
Banker,172,44,216,0.796,0.204
Likestilling,175,38,213,0.822,0.178
Sikkerhet til sjøs,162,44,206,0.786,0.214
Industri,151,54,205,0.737,0.263
Svalbard,157,46,203,0.773,0.227
Nordisk samarbeid,168,34,202,0.832,0.168
Arbeidsmiljø,160,41,201,0.796,0.204
Landbruksprodukter,159,38,197,0.807,0.193
Trossamfunn,149,47,196,0.76,0.24
Språk,150,42,192,0.781,0.219
Den norske kirke,151,36,187,0.807,0.193
Fn,139,46,185,0.751,0.249
Frivillighet,148,36,184,0.804,0.196
Svangerskap,142,39,181,0.785,0.215
Kriminalomsorg,146,33,179,0.816,0.184
Kunst,147,31,178,0.826,0.174
Militært personell,142,33,175,0.811,0.189
Norges bank,130,41,171,0.76,0.24
Jordbruk,136,33,169,0.805,0.195
Havbruk,126,43,169,0.746,0.254
Videregående skoler,129,40,169,0.763,0.237
Redningstjeneste,142,26,168,0.845,0.155
Sivilrett,117,50,167,0.701,0.299
Husdyr,135,31,166,0.813,0.187
Nato,134,29,163,0.822,0.178
Økonomisk samarbeid,132,30,162,0.815,0.185
Barnehager,134,27,161,0.832,0.168
Veterinærvesen,128,27,155,0.826,0.174
Toll,122,25,147,0.83,0.17
Handel,112,33,145,0.772,0.228
Naturskader,115,30,145,0.793,0.207
Forsikring,114,29,143,0.797,0.203
Statsforfatning,120,23,143,0.839,0.161
Voksenopplæring,103,35,138,0.746,0.254
Skatteadministrasjon,109,28,137,0.796,0.204
Kongen,107,29,136,0.787,0.213
Idrett,107,27,134,0.799,0.201
Reindrift,106,28,134,0.791,0.209
Skatteavtaler,104,30,134,0.776,0.224
Aksjer,102,27,129,0.791,0.209
Vassdragsregulering,105,23,128,0.82,0.18
Psykisk helse,97,31,128,0.758,0.242
Universiteter,91,35,126,0.722,0.278
Fengsler,96,28,124,0.774,0.226
Varehandel,106,18,124,0.855,0.145
Reiselivsnæring,103,20,123,0.837,0.163
Massemedier,101,21,122,0.828,0.172
Skogbruk,98,23,121,0.81,0.19
Ferger,93,26,119,0.782,0.218
Høgskoler,81,34,115,0.704,0.296
Helseinstitusjoner,86,27,113,0.761,0.239
Kringkasting,88,25,113,0.779,0.221
Skattefradrag,88,22,110,0.8,0.2
Fredsarbeid,86,24,110,0.782,0.218
Internasjonal rett,82,27,109,0.752,0.248
Privatskoler,82,27,109,0.752,0.248
Studiefinansiering,75,33,108,0.694,0.306
Europarådet,99,9,108,0.917,0.083
Bergverk,83,22,105,0.79,0.21
Lotteri og spill,84,19,103,0.816,0.184
Politiske partier,77,23,100,0.77,0.23
Fiskeomsetning,78,21,99,0.788,0.212
Post,83,15,98,0.847,0.153
Kartverk,52,28,80,0.65,0.35
Atomvåpen,65,14,79,0.823,0.177
Rettferdsvederlag,57,18,75,0.76,0.24
Havner,62,12,74,0.838,0.162
Bibliotek og litteratur,57,13,70,0.814,0.186
Spesialundervisning,43,20,63,0.683,0.317
Grensespørsmål,46,16,62,0.742,0.258
Stortingets forretningsorden,51,11,62,0.823,0.177
Fangst,50,11,61,0.82,0.18
Statens pensjonsfond,44,16,60,0.733,0.267
Fn-styrker,45,10,55,0.818,0.182
Fagskoler,37,14,51,0.725,0.275
Verftsindustri,23,6,29,0.793,0.207
